,ELUC_net,ELUC_turnover,ELUC_harvest,ELUC_all
1869,-0.275707641,-0.06066289,-0.049720857,-0.386091387
1870,-0.195924463,-0.076411025,-0.049224956,-0.321560443
1871,-0.280649705,-0.058440278,-0.053180117,-0.392270101
1872,-0.325679837,-0.09997944,-0.036841793,-0.46250107
1873,-0.468355144,-0.060543772,-0.036494824,-0.565393739
1874,-0.441185282,-0.064692676,-0.053778946,-0.559656905
1875,-0.15790618,-0.064248487,-0.030686308,-0.252840975
1876,-0.375714411,-0.053000702,-0.052327264,-0.481042377
1877,-0.467659343,-0.081636268,-0.043087179,-0.59238279
1878,-0.482343081,-0.051839957,-0.047774763,-0.581957801
1879,-0.432516444,-0.055755823,-0.045202987,-0.533475254
1880,-0.410561595,-0.042483199,-0.042862801,-0.495907594
1881,-0.35521574,-0.041018079,-0.051132425,-0.447366243
1882,-0.417544725,-0.065663524,-0.065825306,-0.549033555
1883,-0.524036812,-0.087754101,-0.045364552,-0.657155464
1884,-0.507413644,-0.062800676,-0.061213183,-0.631427503
1885,-0.223850259,-0.054060566,-0.05295927,-0.330870095
1886,-0.410662224,-0.053851508,-0.066772447,-0.531286179
1887,-0.537672863,-0.057272936,-0.063229032,-0.658174831
1888,-0.538415825,-0.087101882,-0.060361746,-0.685879454
1889,-0.517148792,-0.061023499,-0.055614659,-0.633786951
1890,-0.461087388,-0.097921798,-0.075613604,-0.634622791
1891,-0.398210317,-0.086801356,-0.064655867,-0.549667541
1892,-0.447749602,-0.106145402,-0.059544722,-0.613439727
1893,-0.652727453,-0.088496929,-0.049281025,-0.790505407
1894,-0.592815646,-0.093163478,-0.063343772,-0.749322895
1895,-0.306466892,-0.094005916,-0.038685576,-0.439158384
1896,-0.520414678,-0.087122137,-0.072534213,-0.680071027
1897,-0.57848136,-0.094800464,-0.065143489,-0.738425313
1898,-0.649011829,-0.093972664,-0.056963254,-0.799947746
1899,-0.60254998,-0.069923343,-0.06565938,-0.738132702
1900,-0.539358738,-0.121844699,-0.048242432,-0.709445869
1901,-0.412354668,-0.065367255,-0.074414469,-0.552136392
1902,-0.56676474,-0.106320221,-0.081196223,-0.754281183
1903,-0.717983207,-0.066970653,-0.079260266,-0.864214126
1904,-0.676062313,-0.102049732,-0.079389132,-0.857501176
1905,-0.367332317,-0.060871456,-0.072830419,-0.501034191
1906,-0.562026133,-0.10660988,-0.073402937,-0.74203895
1907,-0.661126027,-0.080780483,-0.081650591,-0.823557102
1908,-0.639783898,-0.106601197,-0.07506233,-0.821447426
1909,-0.637888123,-0.076117893,-0.075830533,-0.78983655
1910,-0.566373881,-0.080085235,-0.081172869,-0.727631985
1911,-0.418979462,-0.105604656,-0.084817819,-0.609401937
1912,-0.361563223,-0.096278009,-0.098841391,-0.556682623
1913,-0.609501963,-0.10521623,-0.082733485,-0.797451678
1914,-0.587038613,-0.102405375,-0.100953408,-0.790397396
1915,-0.431868558,-0.102215457,-0.093404332,-0.627488347
1916,-0.524576971,-0.091755299,-0.101718415,-0.718050685
1917,-0.602550156,-0.109822515,-0.104416091,-0.816788762
1918,-0.462010437,-0.102994859,-0.097153637,-0.662158933
1919,-0.27876143,-0.136132478,-0.087621896,-0.502515804
1920,-0.323740945,-0.113519006,-0.094954211,-0.532214161
1921,-0.460382242,-0.13149289,-0.098585723,-0.690460855
1922,-0.479726506,-0.14551262,-0.096990227,-0.722229352
1923,-0.623934328,-0.130133751,-0.11110114,-0.86516922
1924,-0.470986214,-0.135603258,-0.109300609,-0.715890081
1925,-0.485677855,-0.1242224,-0.108066075,-0.717966329
1926,-0.588688753,-0.147519913,-0.114029025,-0.85023769
1927,-0.444063094,-0.158155628,-0.102694916,-0.704913638
1928,-0.611052849,-0.149819599,-0.105702635,-0.866575083
1929,-0.586203678,-0.145236433,-0.112867446,-0.844307557
1930,-0.518040031,-0.15655639,-0.103246987,-0.777843408
1931,-0.678005165,-0.136152258,-0.110229228,-0.924386652
1932,-0.58343433,-0.133139893,-0.111746593,-0.828320816
1933,-0.832870663,-0.14822573,-0.115682931,-1.096779324
1934,-0.707359664,-0.180226315,-0.102441933,-0.990027912
1935,-0.781384323,-0.191766846,-0.103193472,-1.076344641
1936,-0.667873857,-0.174749133,-0.104967256,-0.947590246
1937,-0.803709143,-0.210453599,-0.11255351,-1.126716253
1938,-0.472256996,-0.211973883,-0.111522584,-0.795753463
1939,-0.883634895,-0.188771463,-0.10948536,-1.181891718
1940,-0.844060244,-0.203477876,-0.10921031,-1.15674843
1941,-1.165481822,-0.174348963,-0.120562286,-1.460393071
1942,-1.018731984,-0.181244902,-0.133539526,-1.333516411
1943,-0.943602235,-0.203621849,-0.122732717,-1.269956801
1944,-0.754387048,-0.184329326,-0.123365822,-1.062082196
1945,-0.970929216,-0.17245394,-0.125253321,-1.268636476
1946,-0.853185204,-0.225053325,-0.134825642,-1.213064171
1947,-1.15911022,-0.219389632,-0.128149644,-1.506649496
1948,-0.914440631,-0.249141607,-0.132378878,-1.295961117
1949,-0.751642496,-0.248192436,-0.148565536,-1.148400469
1950,-0.871648178,-0.236773897,-0.142659889,-1.251081963
