"YEAR" "GLOBAL (PgC/y)" "NORTH (PgC/y)" "TROPICS (PgC/y)" "SOUTH (PgC/y)"
1916 -0.1960119754076 -0.543503642082214 0.453549146652222 -0.106057487428188
1917 0.615405023097992 -0.744477510452271 1.23100423812866 0.128878250718117
1918 -0.0808305963873863 -0.317241668701172 0.193960666656494 0.042450413107872
1919 -1.71951329708099 -0.244633942842484 -1.20133173465729 -0.273547559976578
1920 0.0392956733703613 -0.0778239592909813 0.201295539736748 -0.0841759070754051
1921 0.872544169425964 0.107420027256012 0.683522462844849 0.0816016867756844
1922 -0.347679674625397 -0.109884329140186 -0.18156786262989 -0.0562274791300297
1923 0.608857035636902 -0.00730537809431553 0.743378460407257 -0.127216026186943
1924 -0.930383145809174 -0.415531098842621 -0.430919170379639 -0.0839328542351723
1925 0.142810136079788 -0.026947271078825 0.200136661529541 -0.0303792487829924
1926 -1.06744813919067 -0.0706391483545303 -0.9331955909729 -0.0636133998632431
1927 -0.195133000612259 -0.139264971017838 0.115824989974499 -0.17169301211834
1928 -0.843370735645294 -0.269373863935471 -0.458753079175949 -0.115243785083294
1929 -0.316805094480515 -0.49059984087944 0.391594767570496 -0.21780002117157
1930 -0.120824612677097 -0.13008388876915 0.0859415009617805 -0.0766822174191475
1931 -1.2784069776535 -0.436372071504593 -0.922965347766876 0.0809304714202881
1932 -0.494570434093475 0.0783775448799133 -0.614242672920227 0.0412947200238705
1933 -0.641369044780731 -0.289160758256912 -0.237132847309113 -0.115075431764126
1934 0.273914754390717 -0.216214939951897 0.547239303588867 -0.0571096017956734
1935 -0.827487409114838 -0.20989191532135 -0.497007846832275 -0.120587646961212
1936 -1.38223278522491 -0.995129644870758 -0.304606646299362 -0.0824965238571167
1937 -1.02253079414368 -0.0951466783881187 -0.79185825586319 -0.135525822639465
1938 -0.87498927116394 0.0360566936433315 -0.732807695865631 -0.17823825776577
1939 -0.306998252868652 -0.379420757293701 0.0396596230566502 0.0327628888189793
1940 -0.659213364124298 0.0768885090947151 -0.5754274725914 -0.160674408078194
1941 -1.09707522392273 0.667437434196472 -1.65276694297791 -0.111745811998844
1942 -1.08905589580536 0.0406829416751862 -1.03601372241974 -0.0937251821160316
1943 -0.0537913590669632 0.0683059990406036 -0.0838768184185028 -0.038220539689064
1944 -0.629655241966248 0.211057409644127 -0.640328109264374 -0.200384527444839
1945 -0.755000829696655 -0.00103787868283689 -0.588122606277466 -0.165840327739716
1946 -0.567142426967621 0.0819859132170677 -0.612757205963135 -0.0363710820674896
1947 -0.592287659645081 0.135406568646431 -0.728323698043823 0.000629478832706809
1948 -1.09174823760986 0.0397258698940277 -1.00856983661652 -0.12290421128273
