,ELUC_net,ELUC_turnover,ELUC_harvest,ELUC_all
1553,-0.030740894,-0.00933301,-0.015752549,-0.055826453
1554,-0.008918546,-0.012574666,-0.012240854,-0.033734066
1555,0.033526515,-0.024060635,-0.018959446,-0.009493566
1556,0.026954086,-0.024197817,0.005347564,0.008103832
1557,-0.075550211,-0.006877079,-0.010804553,-0.093231844
1558,-0.046614314,-0.025432221,-0.02816139,-0.100207925
1559,0.011656531,-0.034576116,-0.026998816,-0.049918401
1560,0.020796429,-0.004603316,-0.02006399,-0.003870877
1561,-0.0270226,-0.024497428,-0.027875252,-0.079395281
1562,-0.016774048,-0.030107654,-0.0104348,-0.057316502
1563,-0.031479106,-0.015972891,-0.018193196,-0.065645193
1564,-0.013506221,-0.025096589,-0.001376709,-0.039979519
1565,-0.001770593,-0.023723425,-0.026256589,-0.051750608
1566,0.041110638,-0.016713272,-0.004848002,0.019549364
1567,-0.037889151,-0.02028127,-0.026523714,-0.084694135
1568,-0.08018369,-0.018333798,0.002626354,-0.095891134
1569,0.000306505,-0.04194348,-0.010552161,-0.052189136
1570,0.014810591,-0.010432115,-0.020923319,-0.016544843
1571,-0.059839212,-0.023472609,-0.014732124,-0.098043945
1572,0.012878668,-0.007794369,-0.028959044,-0.023874744
1573,0.015393359,-0.021430981,-0.011048811,-0.017086433
1574,-0.012498841,-0.027041924,-0.013425657,-0.052966422
1575,0.029075751,-0.022459747,-0.01383128,-0.007215276
1576,0.025938962,-0.007897238,-0.003630845,0.014410878
1577,-0.057869215,-0.031968878,-0.002445697,-0.09228379
1578,-0.050560716,-0.023083285,-0.024858994,-0.098502995
1579,0.007430239,-0.026807227,-0.017901989,-0.037278977
1580,0.006133532,-0.009752151,-0.006109474,-0.009728093
1581,-0.057350434,-0.01239088,-0.022335667,-0.092076981
1582,-0.029915621,0.00179677,-0.012371587,-0.040490439
1583,0.004294134,-0.012199787,-0.012403828,-0.020309482
1584,-0.013681027,-0.031867768,0.005810189,-0.039738606
1585,0.044314941,-0.032166673,-0.022031833,-0.009883565
1586,0.057970767,-0.007881159,-0.005640296,0.044449312
1587,-0.060159882,-0.030355193,-0.020380968,-0.110896043
1588,-0.023328434,-0.027437711,0.001191411,-0.049574733
1589,-0.031379358,-0.027264115,-0.003953381,-0.062596853
1590,0.01106644,-0.000900249,-0.015943514,-0.005777322
1591,-0.028907521,-0.042741375,-0.00824346,-0.079892356
1592,-0.013037554,0.015135401,-0.011276868,-0.00917902
1593,-0.005598383,-0.00996851,-0.00407863,-0.019645523
1594,-0.00973123,-0.019167126,-0.012482328,-0.041380684
