1904,16,16,16,16,16,16,16,16,16,16,16,16
1905,-0.51,-1.301,-0.527,-0.71,-0.379,-0.134,-0.3,-0.283,-0.203,-0.488,-0.038,-0.045
1905,17,17,17,17,17,17,17,16,17,17,17,17
1906,0.087,-0.384,-0.53,0.078,-0.011,-0.119,-0.191,-0.172,-0.302,-0.195,-0.551,-0.142
1906,17,17,17,17,17,17,17,17,17,17,17,17
1907,-0.596,-0.75,-0.539,-0.865,-0.908,-0.66,-0.451,-0.544,-0.37,-0.128,-0.742,-0.533
1907,18,18,18,18,18,18,18,18,17,17,17,18
1908,-0.182,-0.374,-0.832,-0.561,-0.463,-0.335,-0.345,-0.496,-0.263,-0.52,-0.712,-0.384
1908,17,17,17,17,17,18,18,18,18,18,17,18
1909,-0.608,-0.591,-0.807,-0.759,-0.729,-0.397,-0.394,-0.01,-0.1,-0.101,-0.029,-0.624
1909,18,18,18,18,18,18,18,18,18,18,18,18
1910,-0.068,-0.361,-0.312,-0.258,-0.316,-0.286,-0.205,-0.192,-0.207,-0.379,-0.753,-0.669
1910,19,19,19,19,19,19,19,19,19,19,18,19
1911,-0.573,-0.871,-0.778,-0.666,-0.366,-0.384,-0.231,-0.22,-0.242,-0.345,-0.158,-0.078
1911,19,19,19,19,19,19,19,19,19,19,19,19
1912,-0.467,-0.065,-0.565,-0.403,-0.272,-0.071,-0.535,-0.63,-0.605,-0.74,-0.549,-0.272
1912,19,19,20,20,20,20,20,20,20,20,20,19
1913,-0.221,-0.657,-0.624,-0.209,-0.759,-0.589,-0.279,-0.133,-0.257,-0.306,0.173,0.263
1913,20,20,20,20,20,20,20,20,20,20,20,20
1914,0.496,0.187,-0.085,-0.298,-0.098,-0.063,-0.114,-0.108,-0.163,0.008,-0.336,-0.316
1914,20,20,20,20,20,20,20,20,20,20,20,20
1915,-0.037,0.308,-0.586,0.088,-0.24,-0.167,0.017,-0.114,-0.002,-0.18,-0.014,-0.074
1915,19,19,19,19,19,19,19,19,20,20,20,20
1916,0.047,-0.083,-0.67,-0.308,-0.335,-0.503,-0.203,-0.191,-0.271,-0.317,-0.428,-0.873
1916,20,20,20,20,20,20,20,20,20,20,20,20
1917,-0.585,-1.234,-1.173,-0.668,-1.073,-0.397,-0.08,-0.281,-0.108,-0.533,-0.28,-1.188
1917,20,20,20,20,20,20,20,20,20,20,20,20
1918,-0.734,-0.519,-0.51,-0.582,-0.696,-0.402,-0.406,-0.329,-0.237,0.146,-0.277,-0.326
1918,20,20,20,20,20,20,20,20,20,20,20,20
1919,-0.076,-0.281,-0.53,-0.082,-0.373,-0.114,-0.17,-0.154,-0.068,-0.248,-0.781,-0.546
1919,20,20,20,20,20,19,20,19,19,19,19,19
1920,-0.111,-0.474,-0.096,-0.294,-0.199,-0.23,-0.105,-0.182,-0.072,-0.345,-0.53,-0.549
1920,19,20,20,20,20,20,20,20,19,20,19,20
1921,0.3,-0.136,-0.024,-0.018,0.056,0.041,-0.011,-0.331,-0.182,-0.187,-0.574,-0.128
1921,20,20,20,20,20,20,20,20,20,20,21,20
1922,-0.556,-0.496,-0.34,-0.108,-0.125,-0.144,-0.206,-0.222,-0.162,-0.27,-0.158,-0.209
1922,20,21,21,20,21,21,21,21,21,21,21,21
1923,0.001,-0.624,-0.377,-0.696,-0.365,-0.288,-0.42,-0.431,-0.183,-0.039,0.146,0.158
1923,21,21,21,21,21,21,21,22,22,22,22,21
1924,-0.457,-0.481,-0.475,-0.572,-0.324,-0.166,-0.18,-0.213,-0.056,-0.146,-0.143,-0.537
1924,22,22,22,22,22,22,22,22,22,22,22,22
1925,-0.332,-0.087,-0.274,-0.121,-0.345,-0.31,-0.346,-0.088,-0.193,-0.493,-0.066,0.171
1925,22,22,22,22,22,22,22,22,22,22,22,22
1926,0.395,0.448,0.025,-0.365,-0.456,-0.166,-0.243,-0.065,-0.017,-0.089,0.064,-0.448
1926,22,22,22,22,23,22,23,23,23,23,23,23
1927,-0.288,-0.172,-0.409,-0.403,-0.454,-0.228,-0.034,-0.155,0.031,0.227,-0.043,-0.787
1927,23,23,23,23,23,23,23,23,22,22,23,23
1928,0.072,-0.087,-0.503,-0.272,-0.293,-0.494,-0.1,-0.124,-0.01,-0.032,0.089,-0.051
1928,23,23,23,23,23,23,23,23,23,23,23,23
1929,-0.706,-1.334,-0.468,-0.654,-0.409,-0.419,-0.366,-0.147,-0.231,0.022,0.007,-0.757
1929,23,23,23,23,23,23,23,23,23,23,23,23
1930,-0.37,-0.125,-0.047,-0.159,-0.3,-0.065,-0.005,0.048,-0.131,-0.178,0.117,-0.109
1930,23,23,23,23,23,23,23,23,23,23,23,23
1931,0.026,-0.439,-0.276,-0.357,-0.293,0.019,0.097,0.083,-0.02,0.169,-0.09,0.104
1931,24,24,24,24,24,24,24,24,24,24,24,24
1932,0.822,-0.445,-0.66,0.013,-0.217,-0.173,-0.07,-0.04,0.095,0.079,-0.263,-0.132
1932,24,24,24,24,24,25,24,25,25,25,25,24
1933,-0.481,-0.602,-0.533,-0.303,-0.217,-0.218,-0.018,-0.048,-0.075,-0.063,-0.333,-0.81
1933,25,25,25,25,25,25,25,25,25,25,25,25
1934,-0.058,0.136,-0.417,-0.359,0.209,-0.017,0.009,-0.006,-0.138,0.027,0.202,0.112
1934,25,25,25,25,25,25,25,25,25,25,25,25
1935,-0.422,0.692,-0.059,-0.549,-0.45,-0.183,-0.051,-0.04,-0.13,0.158,-0.531,-0.354
1935,26,26,26,26,26,26,26,26,26,26,26,26
1936,-0.357,-0.871,-0.417,-0.304,-0.137,-0.02,0.262,0.1,-0.013,0.055,0.074,0.236
1936,26,26,26,26,26,26,26,26,26,26,26,26
1937,-0.223,0.126,-0.689,-0.304,-0.028,0.097,0.009,0.218,0.249,0.303,0.117,-0.31
1937,26,27,27,27,27,27,26,27,26,26,27,26
1938,0.141,0.133,0.309,0.324,0.048,-0.056,0.079,0.128,0.257,0.432,0.331,-0.364
1938,27,27,27,27,27,27,27,27,27,27,27,27
1939,0.094,0.062,-0.489,-0.205,0.044,0.099,0.017,0.108,-0.115,-0.237,-0.006,0.694
1939,27,27,27,27,27,27,27,27,27,27,27,27
1940,-0.778,-0.125,-0.202,-0.005,-0.145,0.154,0.148,0.019,0.166,0.003,-0.027,0.276
1940,27,27,27,28,27,27,27,27,27,28,27,27
1941,-0.167,0.105,-0.336,-0.034,-0.014,0.117,0.18,0.052,-0.175,0.193,-0.176,-0.149
1941,29,29,29,29,29,29,29,29,29,29,29,29
1942,0.05,-0.433,-0.284,-0.097,-0.095,0.089,-0.091,-0.013,0.099,0.097,0.091,0.018
1942,29,29,29,29,29,29,29,29,29,29,29,29
1943,-0.402,0.26,-0.247,0.145,0.063,-0.224,0.005,-0.136,0.04,0.38,-0.009,0.295
1943,29,29,29,29,29,29,29,29,29,29,29,29
1944,0.662,0.26,0.021,-0.153,-0.036,-0.014,0.079,0.148,0.384,0.309,-0.051,-0.399
1944,29,29,29,29,29,29,29,29,29,29,29,29
1945,-0.296,-0.47,-0.215,0.203,-0.25,-0.101,-0.179,0.401,0.16,0.105,-0.113,-0.649
1945,29,29,29,29,29,29,29,29,29,29,29,29
1946,0.113,0.128,-0.305,0.205,-0.094,-0.219,0.002,-0.034,0.05,-0.164,0.006,-0.559
1946,30,30,30,30,30,30,30,30,30,30,30,30
